Date,High,Low,Open,Close,Volume,Adj Close,close_sma_ratio,upper_bb,lower_bb,percent_b,norm_adj_close,norm_close_sma_ratio,norm_close_sma_ratio_state,percent_b_state,cash,cash_state,shares,shares_state,state
2017-02-14,89.69999694824219,88.11000061035156,88.30000305175781,89.55999755859375,17932100.0,80.0822982788086,1.02268,80.73071,75.88225,86.62643971093073,1.0392200988316511,1.025458993873397,7,3,80225.8576965332,4,260,9,7349
2017-02-15,90.87000274658203,89.3499984741211,90.08000183105469,90.58999633789062,17381800.0,81.00331115722656,1.02362,81.89836,76.37062,83.80805097972345,1.0511719922601146,1.0264015481956101,7,3,80225.8576965332,4,260,9,7349
2017-02-16,91.04000091552734,89.7699966430664,90.4000015258789,90.52999877929688,17672700.0,80.94964599609375,1.0153,82.52453,76.93548,71.82197325294551,1.0504755847486558,1.0180589397266593,6,2,80225.8576965332,4,260,9,6249
2017-02-17,90.47000122070312,89.69000244140625,89.81999969482422,90.2300033569336,15776600.0,80.68141174316406,1.00465,82.12289,78.49239,60.2953241471991,1.0469947352621796,1.0073799997994566,4,2,78606.86477661133,3,280,9,4239
2017-02-21,91.1500015258789,90.45999908447266,90.51000213623047,91.01000213623047,14068300.0,81.37886810302734,1.00693,81.78147,79.85674,79.08268188407435,1.0560455577636072,1.0096661953895056,5,3,78606.86477661133,3,280,9,5339
2017-02-22,91.30000305175781,90.41999816894531,90.5199966430664,91.05999755859375,11839000.0,81.42355346679688,1.00415,81.71092,80.4638,76.95758762563926,1.056625435328949,1.0068786411174284,4,3,78606.86477661133,3,280,9,4339
2017-02-23,91.33999633789062,90.5199966430664,91.18000030517578,91.12999725341797,11067000.0,81.48617553710938,1.00372,81.88691,80.48095,71.49744922397313,1.0574380757688204,1.0064474726508839,4,2,76978.39370727539,3,300,9,4239
2017-02-24,90.54000091552734,89.7300033569336,90.18000030517578,90.33000183105469,15062300.0,80.77083587646484,0.99535,81.92505,80.37128,25.71525235168944,1.0481551834341742,0.9980547283137302,2,2,76978.39370727539,3,300,9,2239
2017-02-27,90.7300033569336,90.0199966430664,90.31999969482422,90.43000030517578,12361000.0,80.8602523803711,0.99601,81.86378,80.50409,26.1943810994483,1.0493155326002672,0.9987165217740075,3,2,76978.39370727539,3,300,9,3239
2017-02-28,90.81999969482422,89.58999633789062,89.8499984741211,90.62000274658203,15183500.0,81.03013610839844,0.99896,81.76498,80.46341,43.54173101703652,1.0515200970099425,1.0016745379979746,3,2,76978.39370727539,3,300,9,3239
2017-03-01,93.9800033569336,92.61000061035156,92.79000091552734,93.5999984741211,24451400.0,83.69476318359375,1.02607,84.00882,79.12805,93.56542479145196,1.0860987001713198,1.0288582057375488,8,3,76978.39370727539,3,300,9,8339
2017-03-02,93.91999816894531,92.02999877929688,93.87000274658203,92.13999938964844,16862500.0,82.38928985595703,1.00783,84.29059,79.20752,62.59543653652288,1.0691577013522622,1.0105686410171564,5,2,75304.49844360352,3,320,9,5239
2017-03-03,93.11000061035156,92.13999938964844,92.13999938964844,92.80000305175781,12817500.0,82.97942352294922,1.0096,84.64856,79.73298,66.04395662260033,1.0768158078366736,1.0123434507515368,6,2,76952.28424072266,3,300,9,6239
2017-03-06,92.31999969482422,91.0999984741211,92.25,91.91999816894531,15059200.0,82.19255065917969,0.99679,84.43598,80.47848,43.311956012120895,1.0666046361691528,0.9994986413179716,3,2,78611.87271118164,3,280,9,3239
2017-03-07,92.08999633789062,91.20999908447266,91.63999938964844,91.41000366210938,11156800.0,81.73653411865234,0.98956,84.11457,81.08245,21.571841439400423,1.0606869544279796,0.9922489947758425,2,1,78611.87271118164,3,280,9,2139
2017-03-08,92.8499984741211,91.0999984741211,92.68000030517578,91.20999908447266,17378400.0,81.55768585205078,0.99253,83.29652,81.04567,22.747666528235115,1.0583660580839902,0.9952270653470906,2,1,80246.60339355469,4,260,9,2149
2017-03-09,92.13999938964844,91.1500015258789,91.5999984741211,91.56999969482422,13726200.0,81.8796157836914,0.99769,83.18808,80.95024,41.53003716491841,1.0625437111055316,1.0004010869456226,3,2,80246.60339355469,4,260,9,3249
2017-03-10,92.0,90.52999877929688,91.94999694824219,91.27999877929688,13729900.0,81.62028503417969,0.99784,82.30275,81.29192,32.48469417999895,1.059178401506157,1.000551494550231,3,2,78609.01107788086,3,280,9,3239
2017-03-13,91.77999877929688,90.93000030517578,91.30999755859375,91.36000061035156,10004300.0,81.69181823730469,0.99993,81.94261,81.45177,48.90559801660184,1.0601066808390314,1.0026471738411094,3,2,78609.01107788086,3,280,9,3239
2017-03-14,91.6500015258789,90.7699966430664,91.0199966430664,91.51000213623047,10237700.0,81.82594299316406,1.00136,81.98648,81.44366,70.42536995027156,1.061847204588171,1.0040810596717105,4,2,78609.01107788086,3,280,9,4239
2017-03-15,92.55000305175781,91.12999725341797,91.80000305175781,91.7300033569336,16601400.0,82.02266693115234,1.00262,82.12472,81.49141,83.88576386798668,1.0644000717594775,1.0053444835504217,4,3,78609.01107788086,3,280,9,4339
2017-03-16,92.80999755859375,91.56999969482422,92.02999877929688,91.63999938964844,14492000.0,81.94220733642578,1.00149,82.15578,81.48538,68.14250245014678,1.0633559555217968,1.0042114129290376,4,2,76968.55773925781,3,300,9,4239
2017-03-17,92.04000091552734,90.6500015258789,91.83000183105469,90.68000030517578,21734700.0,81.08378601074219,0.9923,82.45997,80.9666,7.84708483109932,1.0522163065095984,0.9949964403533575,2,1,76968.55773925781,3,300,9,2139
2017-03-20,91.16999816894531,89.79000091552734,90.2699966430664,90.02999877929688,14623600.0,80.50257110595703,0.98806,82.79454,80.15633,13.12409193949815,1.0446739379240917,0.9907449187297577,1,1,78590.23345947266,3,280,9,1139
2017-03-21,90.63999938964844,87.05999755859375,90.36000061035156,87.38999938964844,33089200.0,78.1419677734375,0.96784,83.90327,77.57401,8.973525711339056,1.0140406209333326,0.9704699736285334,0,1,80200.2848815918,4,260,9,0149
2017-03-22,88.06999969482422,86.01000213623047,86.88999938964844,87.52999877929688,21741000.0,78.26714324951172,0.97849,83.40128,76.57379,24.801987985507367,1.0156650107599614,0.981148913555736,1,1,78637.44552612305,3,280,9,1139
2017-03-23,88.5,87.08999633789062,87.20999908447266,87.38999938964844,16090100.0,78.1419677734375,0.9863,82.11724,76.33774,31.217713875551585,1.0140406209333326,0.988980136169018,1,2,80202.78839111328,4,260,9,1249
2017-03-24,88.08999633789062,86.7699966430664,87.79000091552734,87.29000091552734,16093200.0,78.05253601074219,0.99277,80.73018,76.5123,36.516828613952704,1.0128800737554364,0.9954677175144643,2,2,78639.94903564453,3,280,9,2239
2017-03-27,87.4000015258789,85.2300033569336,85.52999877929688,87.23999786376953,16689300.0,78.00782775878906,0.99853,78.3216,77.92298,21.285374238388762,1.01229989917239,1.0012433695314302,3,1,78639.94903564453,3,280,9,3139
