,Date,Adj Close
0,1,77.28353118896484
1,4,77.52498626708984
2,5,74.70832061767578
3,7,74.48477935791016
4,9,74.85139465332031
5,10,75.75450134277344
6,11,76.9258804321289
7,12,77.56968688964844
8,13,77.73062896728516
9,18,77.95417785644531
10,25,80.0822982788086
11,26,81.00331115722656
12,36,82.38928985595703
13,40,81.55768585205078
14,45,82.02266693115234
15,55,78.92881774902344
16,58,78.25819396972656
17,64,77.54214477539062
18,65,77.24365997314453
19,70,77.37933349609375
20,84,79.07977294921875
21,88,79.24258422851562
22,93,77.56927490234375
23,94,77.5240707397461
24,99,75.12713623046875
25,108,78.77224731445312
26,109,78.30188751220703
27,110,77.94915771484375
28,111,79.65865325927734
29,119,82.44448852539062
30,127,84.13485717773438
31,131,82.8252182006836
32,141,84.60778045654297
33,142,84.68054962158203
34,148,83.84381866455078
35,149,83.14353942871094
36,161,82.85250091552734
37,167,80.51516723632812
38,169,81.66110229492188
39,170,82.6614990234375
40,171,82.89797973632812
41,172,82.73426818847656
42,174,84.50773620605469
43,177,86.42670440673828
44,178,86.24481964111328
45,180,85.21712493896484
46,181,86.5631332397461
47,183,86.86325073242188
48,187,88.81637573242188
49,188,88.66085815429688
50,190,88.85296630859375
51,194,89.50247192382812
52,196,89.63965606689453
53,198,91.0301513671875
54,201,92.41146850585938
55,202,93.07010650634766
56,205,92.03642272949219
57,212,89.31034851074219
58,223,89.58478546142578
59,229,96.71096801757812
60,236,95.74128723144531
61,238,97.84528350830078
62,239,97.43364715576172
63,250,99.62399291992188
64,252,100.27686309814453
65,258,104.14816284179688
66,261,105.02173614501953
67,265,106.85163879394531
68,266,105.84931945800781
69,271,103.0906753540039
70,275,102.75044250488281
71,279,105.45391845703125
72,285,107.9183120727539
73,286,106.20795440673828
74,288,104.20333862304688
75,290,105.89530181884766
76,296,105.70219421386719
77,299,105.31598663330078
78,305,99.4676513671875
79,309,100.53433990478516
80,318,101.85745239257812
81,320,101.03490447998047
82,321,103.25302124023438
83,322,103.02196502685547
84,325,101.65412139892578
85,327,101.10884857177734
86,328,100.53582000732422
87,330,99.74101257324219
88,333,101.08111572265625
89,338,105.26780700683594
90,339,104.46372985839844
91,349,100.13842010498047
92,350,98.89997863769531
93,352,100.23082733154297
94,355,102.40274047851562
95,357,102.43047332763672
96,358,101.83898162841797
97,359,101.63565063476562
98,368,96.91291809082031
99,372,97.1162338256836
100,377,99.07501983642578
101,378,98.86129760742188
102,379,99.28872680664062
103,383,103.63755798339844
104,390,107.81912231445312
105,391,108.4695816040039
106,396,108.83199310302734
107,404,106.64827728271484
108,405,106.64827728271484
109,406,106.50889587402344
110,411,108.45098876953125
111,413,107.56822204589844
112,421,106.33235168457031
113,425,105.78408813476562
114,433,106.41596221923828
115,434,104.85485076904297
116,435,105.46815490722656
117,437,106.89918518066406
118,446,101.64029693603516
119,454,96.77445220947266
120,455,98.112548828125
121,457,102.01460266113281
122,464,104.13874053955078
123,475,102.66961669921875
124,487,93.84556579589844
125,496,90.60790252685547
126,497,91.34713745117188
127,499,91.60785675048828
128,502,94.87183380126953
129,503,94.71146392822266
130,504,94.7020263671875
131,507,95.91893768310547
132,508,96.69247436523438
133,509,97.08866882324219
134,527,97.24903869628906
135,532,99.49419403076172
136,537,98.44709014892578
137,541,97.84334564208984
138,542,97.1358413696289
139,543,97.173583984375
140,546,98.47538757324219
141,550,100.74884033203125
142,555,94.25865936279297
143,558,95.49443054199219
144,561,99.38099670410156
145,562,100.34105682373047
146,563,100.10343170166016
147,564,100.42662811279297
148,569,104.5045166015625
149,570,105.60716247558594
150,579,110.31243896484375
151,586,106.95695495605469
152,591,105.80677795410156
153,593,105.84481048583984
154,598,103.15470886230469
155,605,104.91326141357422
156,617,103.28780364990234
157,625,108.64275360107422
158,630,110.37544250488281
159,632,110.20313262939453
160,635,108.69062042236328
161,638,111.84009552001953
162,647,105.71343994140625
163,654,100.70681762695312
164,655,103.11919403076172
165,657,102.72669982910156
166,667,105.17735290527344
167,677,114.64495086669922
168,683,112.03155517578125
169,690,110.36222076416016
170,691,107.90157318115234
171,693,110.20781707763672
172,697,115.48613739013672
173,702,120.73551177978516
174,708,120.54251098632812
175,709,123.32160186767578
176,716,124.63394927978516
177,717,123.97776794433594
178,721,126.00416564941406
179,731,127.70249938964844
180,738,132.015869140625
181,739,132.52728271484375
182,740,133.3378448486328
183,746,134.16770935058594
